item,activity,cost_type,role,gloria_index,gloria_sector,isic_rev4,rationale
Liquefaction#CAPEX,Liquefaction,CAPEX,baseline,86,Machinery and equipment,28,"Compressors, refrigeration units, heat exchangers and pumps of the liquefaction train (used in the submitted analysis)"
Liquefaction#CAPEX,Liquefaction,CAPEX,alternative,99,Civil engineering construction,42,"Plant delivered as an engineering-procurement-construction (EPC) project: site works, foundations, utilities and erection"
Liquefaction#CAPEX,Liquefaction,CAPEX,alternative,85,Fabricated metal products,25,"Pressure vessels, tanks, piping and structural steel (ISIC 2512/2592) rather than machinery"
Liquefaction#OPEX,Liquefaction,OPEX,baseline,106,Services to transport,52,"Terminal-type operating services (used in the submitted analysis)"
Liquefaction#OPEX,Liquefaction,OPEX,alternative,67,Basic inorganic chemicals,2011,"Industrial-gas producers (ISIC 2011 includes liquefied industrial gases) operating the plant themselves"
Liquefaction#OPEX,Liquefaction,OPEX,alternative,89,Repair and installation of machinery and equipment,33,"Non-energy OPEX set at 10% of CAPEX is essentially maintenance of the process equipment"
Liquefaction#Energy,Liquefaction,Energy,baseline,93,"Electric power generation, transmission and distribution",351,"Electricity purchased from the grid (unambiguous; no alternative tested)"
Storage#CAPEX,Storage,CAPEX,baseline,86,Machinery and equipment,28,"Cryogenic buffer tanks and associated pumps (used in the submitted analysis)"
Storage#CAPEX,Storage,CAPEX,alternative,85,Fabricated metal products,25,"Tanks, reservoirs and containers of metal (ISIC 2512)"
Storage#CAPEX,Storage,CAPEX,alternative,99,Civil engineering construction,42,"Terminal civil works and tank foundations at Esbjerg"
Storage#OPEX,Storage,OPEX,baseline,106,Services to transport,52,"Harbour terminal operation and cargo handling (used in the submitted analysis)"
Storage#OPEX,Storage,OPEX,alternative,89,Repair and installation of machinery and equipment,33,"Fixed OPEX at 5% of CAPEX interpreted as maintenance"
Loading#CAPEX,Loading,CAPEX,baseline,88,Other transport equipment,30,"Loading arms and marine loading systems (used in the submitted analysis)"
Loading#CAPEX,Loading,CAPEX,alternative,86,Machinery and equipment,28,"Pumps and piping are general-purpose machinery (ISIC 2813)"
Loading#CAPEX,Loading,CAPEX,alternative,99,Civil engineering construction,42,"Quay-side works and harbour infrastructure"
Loading#OPEX,Loading,OPEX,baseline,106,Services to transport,52,"Cargo handling and port services (used in the submitted analysis)"
Loading#OPEX,Loading,OPEX,alternative,89,Repair and installation of machinery and equipment,33,"OPEX at 3% of CAPEX interpreted as maintenance"
Loading#Energy,Loading,Energy,baseline,93,"Electric power generation, transmission and distribution",351,"Electricity for loading pumps (unambiguous; no alternative tested)"
